Date,Created_at
85/05/29,2019-09-20 23:46:45.680991
85/05/30,2019-09-20 23:46:45.684054
85/05/31,2019-09-20 23:46:45.687707
85/06/01,2019-09-20 23:46:45.690952
85/06/03,2019-09-20 23:46:45.694494
85/06/04,2019-09-20 23:46:45.698037
85/06/05,2019-09-20 23:46:45.703274
85/06/06,2019-09-20 23:46:45.710795
85/06/07,2019-09-20 23:46:45.717818
85/06/08,2019-09-20 23:46:45.723536
85/06/10,2019-09-20 23:46:45.727632
85/06/11,2019-09-20 23:46:45.730795
85/06/12,2019-09-20 23:46:45.734327
85/06/13,2019-09-20 23:46:45.737364
85/06/14,2019-09-20 23:46:45.741226
85/06/15,2019-09-20 23:46:45.744748
85/06/17,2019-09-20 23:46:45.750313
85/06/18,2019-09-20 23:46:45.753521
85/06/19,2019-09-20 23:46:45.758011
85/06/21,2019-09-20 23:46:45.760991
85/06/22,2019-09-20 23:46:45.766018
85/06/24,2019-09-20 23:46:45.771499
85/06/25,2019-09-20 23:46:45.776189
85/06/26,2019-09-20 23:46:45.780328
85/06/27,2019-09-20 23:46:45.784094
85/06/28,2019-09-20 23:46:45.787042
85/06/29,2019-09-20 23:46:45.790955
85/07/02,2019-09-20 23:46:45.793914
85/07/03,2019-09-20 23:46:45.797809
85/07/04,2019-09-20 23:46:45.801047
85/07/05,2019-09-20 23:46:45.804178
85/07/06,2019-09-20 23:46:45.808094
85/07/08,2019-09-20 23:46:45.811057
85/07/09,2019-09-20 23:46:45.814044
85/07/10,2019-09-20 23:46:45.817724
85/07/11,2019-09-20 23:46:45.820431
85/07/12,2019-09-20 23:46:45.823555
85/07/13,2019-09-20 23:46:45.826652
85/07/15,2019-09-20 23:46:45.830197
85/07/16,2019-09-20 23:46:45.833894
85/07/17,2019-09-20 23:46:45.836593
85/07/18,2019-09-20 23:46:45.839444
85/07/19,2019-09-20 23:46:45.843303
85/07/20,2019-09-20 23:46:45.846038
85/07/22,2019-09-20 23:46:45.850067
85/07/23,2019-09-20 23:46:45.853602
85/07/24,2019-09-20 23:46:45.856858
85/07/25,2019-09-20 23:46:45.860358
85/07/26,2019-09-20 23:46:45.863486
85/07/27,2019-09-20 23:46:45.868945
85/07/29,2019-09-20 23:46:45.872288
85/07/30,2019-09-20 23:46:45.875687
85/08/02,2019-09-20 23:46:45.879353
85/08/03,2019-09-20 23:46:45.882735
85/08/05,2019-09-20 23:46:45.885937
85/08/06,2019-09-20 23:46:45.889262
85/08/07,2019-09-20 23:46:45.892745
85/08/08,2019-09-20 23:46:45.896536
85/08/09,2019-09-20 23:46:45.900040
85/08/10,2019-09-20 23:46:45.903521
85/08/12,2019-09-20 23:46:45.906798
85/08/13,2019-09-20 23:46:45.910696
85/08/14,2019-09-20 23:46:45.915008
85/08/15,2019-09-20 23:46:45.918545
85/08/16,2019-09-20 23:46:45.922591
85/08/17,2019-09-20 23:46:45.926476
85/08/19,2019-09-20 23:46:45.930440
85/08/20,2019-09-20 23:46:45.934717
85/08/21,2019-09-20 23:46:45.938029
85/08/22,2019-09-20 23:46:45.941831
85/08/23,2019-09-20 23:46:45.945024
