公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
4105,1621.21,64.8,14.84,49.16,37.51,102,2,台灣東洋
4107,464.22,38.9,23.53,25.2,22.44,102,2,邦特生技
4109,263.46,30.47,-2.49,-1.63,-2.23,102,2,加捷生醫
4111,425.44,30.33,8.73,9.24,7.63,102,2,濟生醫藥
4113,860.68,30.88,22.77,22.28,21.74,102,2,聯上
4114,605.9,50.99,6.75,5.19,3.62,102,2,健喬信元
4116,397.93,36.11,3.68,4.67,3.88,102,2,明基醫
4120,2447.39,37.47,7.45,20.58,16.18,102,2,友華
4121,1312.27,26.66,-2.31,3.0,2.26,102,2,優盛醫學
4123,341.12,37.79,-5.25,-20.44,-20.72,102,2,晟德
4126,740.05,39.41,26.43,28.66,24.65,102,2,太醫
4127,535.63,58.85,8.93,7.71,6.44,102,2,天良生技
4128,558.35,37.78,-36.18,0.93,-1.23,102,2,中天生技
4129,485.73,62.39,7.09,9.49,6.82,102,2,聯合骨科
4130,196.47,43.28,12.18,16.94,15.29,102,2,健亞
4131,50.55,14.1,-37.31,-26.95,-26.95,102,2,晶宇生技
4138,374.68,35.29,3.13,4.57,3.29,102,2,曜亞國際
4139,183.79,34.57,-17.92,-26.66,-28.08,102,2,馬光-KY
4147,,,,,,102,2,中裕新藥
4152,126.05,100.0,-34.7,-34.01,-34.3,102,2,台微體
4153,423.07,25.76,8.32,9.83,8.89,102,2,鈺緯
4154,176.61,67.79,6.46,7.12,8.24,102,2,康樂-KY
4157,34.3,78.76,-520.9,-366.34,-366.34,102,2,太景*-KY
4160,109.18,12.1,-26.89,-25.96,-23.79,102,2,創源生技
4161,208.71,26.92,7.78,10.71,8.33,102,2,聿新生技
4162,17.81,52.9,-225.21,-153.37,-153.37,102,2,智擎
4163,726.96,36.74,17.72,20.79,17.66,102,2,鐿鈦科技
4167,516.59,6.46,-18.11,-21.65,-21.65,102,2,展旺
4168,6.44,89.64,-403.0,-324.5,-354.07,102,2,醣聯
4171,49.69,69.49,-44.49,-64.45,-59.12,102,2,瑞基海洋
4173,704.47,17.91,5.67,4.23,3.68,102,2,久裕
4174,,,,,,102,2,浩鼎
4175,1665.77,31.31,3.64,4.01,3.14,102,2,杏一
4183,154.49,24.82,-1.05,2.7,2.42,102,2,福永生技
